abc,country,target_groups,contracts,name,street,city,postal_code,phone,fax,web,email,services,latitude,longitude,garage_id,sources
abc,ESP,Direct Marketer,Würth,Center Alajärvi,Kuopiontie 2,Alajärvi,62900,0103084360,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_1075.php,alajarvi@wurth.fi,Printing and naming services for work clothes | You can find Elektron Electrical accessories at the Center,,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,Center Alavus,Telekuja 7,Alavus,63300,0103085370,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_6592.php,alavus@wurth.fi,Printing and naming services for work clothes,,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,"Center Espoo, Kivenlahti",Höyrylaivantie 20,Espoo,02320,0103082500,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_2240.php,espoo.kivenlahti@wurth.fi,,,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,"Center Espoo, Muurala",Nimismiehenpelto 4 A,Espoo,02770,0103082520,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_961.php,espoo.muurala@wurth.fi,"Safety@Work Center, inspection services for fall protection",,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,"Center Espoo, Olarinluoma",Luomannotko 2,Espoo,02200,0103082540,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_1046.php,espoo.olarinluoma@wurth.fi,Printing and naming services for work clothes,,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,"Center Espoo, Suomenoja",Ennekuja 2,Espoo,02270,0103082510,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_1021.php,espoo.suomenoja@wurth.fi,Printing and naming services for work clothes,,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,Center Eura,Rakentajantie 2,Eura,27510,0103085060,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_1008.php,eura@wurth.fi,Printing and naming services for work clothes | You can find Elektron Electrical accessories at the Center,,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,"Center Eurajoki, Olkiluoto",Ulkokiventie 2-4,Eurajoki,27160,0103084190,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_1043.php,olkiluoto@wurth.fi,,,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,Center Forssa,Nikkilänkatu 1,Forssa,30100,0103083260,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_1019.php,forssa@wurth.fi,"Printing and naming services for work clothes | Safety@Work Center, inspection services for fall protection | You can find Elektron Electrical accessories at the Center",,,,https://www.wurth.fi/
abc,ESP,Direct Marketer,Würth,Center Hamina,Rimamöljänkatu 2,Hamina,49400,0103085360,,https://www.wurth.fi/fi/wurth_fi/center/wuerth_centerit/nl_detail_1_1026.php,hamina.keskusta@wurth.fi,"Center specializes in hydraulics, hoses and connectors | Printing and naming services for work clothes | Safety@Work Center, inspection services for fall protection | You can find Elektron Electrical accessories at the Center",,,,https://www.wurth.fi/
