abc,country,target_groups,contracts,name,street,city,postal_code,phone,fax,web,email,services,latitude,longitude,garage_id,sources
abc,FR,IAM Autocenter,Roady,Centre Roady Montpon Menesterol,Brion Nord,Montpon Menesterol,24700,0533523646,,https://www.roady.fr/montpon-menesterol.html,,Portage / Attelage | Démarrage / Batterie | Direction / Suspension | Distribution | Echappement | Eléments du moteur | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Révision Roady | Son / Multimédia | Carte grise | Roady Assistance | Gardiennage des pneus | Financement | Climatisation | Pare-brise / Réparation d'impacts | Eco-nettoyage | Lavage | Boîte de vitesse | Assurance crevaison | Embrayage | Pré-contrôle technique | Bouteilles de gaz | Eclairage | Hybride electrique | Prêt véhicule | Diagnostic électronique ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Saint André de Cubzac,240 avenue Boucicaut,Saint André de Cubzac,33240,0533523644,,https://www.roady.fr/saint-andre-de-cubzac.html,,Portage / Attelage | Boîte de vitesse | Climatisation | Démarrage / Batterie | Diagnostic électronique | Direction / Suspension | Distribution | Echappement | Eclairage | Eléments du moteur | Embrayage | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Pré-contrôle technique | Révision Roady | Son / Multimédia | Pare-brise / Réparation d'impacts | Assurance crevaison | Financement | Location véhicule courte durée | Prêt véhicule | Lavage | Bouteilles de gaz | Roady Assistance | Carte grise | Hybride electrique ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Cestas,CC Gazinet Nord Av de Verdun,Cestas,33610,0533523647,,https://www.roady.fr/cestas.html,,Portage / Attelage | Démarrage / Batterie | Direction / Suspension | Distribution | Echappement | Eléments du moteur | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Révision Roady | Son / Multimédia | Diagnostic électronique | Boîte de vitesse | Financement | Climatisation | Assurance crevaison | Pare-brise / Réparation d'impacts | Eclairage | Embrayage | Gardiennage des pneus ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Mérignac,105 avenue des Frères Robinson,Mérignac,33700,0533523642,,https://www.roady.fr/merignac.html,,Portage / Attelage | Démarrage / Batterie | Direction / Suspension | Distribution | Echappement | Eléments du moteur | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Révision Roady | Eclairage | Hybride electrique | Financement | Climatisation | Pré-contrôle technique | Diagnostic électronique | Pare-brise / Réparation d'impacts | Boîte de vitesse | Embrayage ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Montauban,200 Route du Nord,Montauban,82000,0535541968,,https://www.roady.fr/montauban.html,,Portage / Attelage | Boîte de vitesse | Climatisation | Démarrage / Batterie | Diagnostic électronique | Direction / Suspension | Distribution | Echappement | Eclairage | Eco-nettoyage | Eléments du moteur | Embrayage | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Pré-contrôle technique | Révision Roady | Son / Multimédia | Pare-brise / Réparation d'impacts | Assurance crevaison | Carte grise | Financement | Gardiennage des pneus | Location véhicule courte durée | Prêt véhicule | Roady Assistance ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Hagetmau,Route d Orthez,Hagetmau,40700,0533523648,,https://www.roady.fr/hagetmau.html,,Portage / Attelage | Démarrage / Batterie | Direction / Suspension | Distribution | Echappement | Eléments du moteur | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Révision Roady | Son / Multimédia | Location véhicule courte durée | Roady Assistance | Financement | Lavage | Climatisation | Embrayage | Prêt véhicule | Carte grise | Eco-nettoyage | Diagnostic électronique | Eclairage | Pré-contrôle technique | Hybride electrique | Boîte de vitesse ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Dax,Centre Commercial Dax porte Sud - Rte de la Parcelle,Dax,40100,0533523532,,https://www.roady.fr/dax.html,,Portage / Attelage | Démarrage / Batterie | Direction / Suspension | Distribution | Echappement | Eléments du moteur | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Révision Roady | Son / Multimédia | Location véhicule courte durée | Roady Assistance | Pare-brise / Réparation d'impacts | Pré-contrôle technique | Prêt véhicule | Boîte de vitesse | Hybride electrique | Carte grise | Diagnostic électronique | Eco-nettoyage | Eclairage | Embrayage | Climatisation | Financement ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Serres Castet,Rue des Eaux Bonnes,Serres Castet,64121,0533523535,,https://www.roady.fr/serres-castet.html,,Portage / Attelage | Boîte de vitesse | Climatisation | Démarrage / Batterie | Diagnostic électronique | Direction / Suspension | Distribution | Echappement | Eclairage | Eco-nettoyage | Eléments du moteur | Embrayage | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Pré-contrôle technique | Révision Roady | Son / Multimédia | Pare-brise / Réparation d'impacts | Assurance crevaison | Carte grise | Financement | Location véhicule courte durée | Prêt véhicule | Bouteilles de gaz | Roady Assistance ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Cognac,18 avenue de Saintes,Cognac,16100,0533523650,,https://www.roady.fr/cognac.html,,Portage / Attelage | Boîte de vitesse | Climatisation | Démarrage / Batterie | Diagnostic électronique | Direction / Suspension | Distribution | Echappement | Eclairage | Eléments du moteur | Embrayage | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Révision Roady | Son / Multimédia | Assurance crevaison | Financement | Prêt véhicule | Lavage | Roady Assistance | Location de matériel | Carte grise | Location véhicule courte durée | Pré-contrôle technique ,,,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Saint Jean,Avenue de la Dancelle,Saint-Jean,31240,0518230445,,https://www.roady.fr/saint-jean.html,,Portage / Attelage | Boîte de vitesse | Démarrage / Batterie | Diagnostic électronique | Direction / Suspension | Distribution | Echappement | Eclairage | Eléments du moteur | Embrayage | Entretien vidange | Equipement / Accessoires | Freinage | Pneumatique | Pré-contrôle technique | Révision Roady | Pare-brise / Réparation d'impacts | Financement | Prêt véhicule | Bouteilles de gaz | Roady Assistance | Assurance crevaison | Location véhicule courte durée ,,,,https://www.roady.fr/
