abc,country,target_groups,contracts,name,street,city,postal_code,phone,fax,web,email,services,latitude,longitude,garage_id,sources
abc,ESP,Tyre Service,Vulco,NEUMÁTICOS IRUÑA (VITORIA),"Calle Jundiz, 4 Pol.Ind.Jundiz Pab.6A",Vitoria,01015,945292735,945292735,https://www.vulco.es/neumaticos-iruna-vitoria/,,| Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Wheel alignment | Change Tires | Tire balancing | Anti-puncture tires | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Changing shock absorbers | Brake discs | Wiper blades | Brake pads | Battery | Oil change | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Battery | Oil change | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Mobile Workshop Unit | Mobile Workshop Unit | Waiting room | Parking | Waiting room | Parking |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,GAMARRA PNEUMATIKOAK,"C/Portal de Gamarra, 27 Pabellón 6",Vitoria-Gasteiz,01013,945258483|682759587,34913291015,https://www.vulco.es/gamarra-pneumatikoak/,,| Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Change of shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Battery | Oil change | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Battery | Oil change | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Waiting room | Complimentary drinks | Free WiFi | Parking | Suitable for babies | Suitable for animals | Parking familiar | Parking for people with disabilities | Waiting room | Complimentary drinks | Free WiFi | Parking | Suitable for babies | Suitable for animals | Parking familiar | Parking for people with disabilities |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,NEUMÁTICOS Y SERVICIOS MILLÁN,"Calle San José, 29 ",Almansa,02640,967311819,967311819,https://www.vulco.es/neumaticos-y-servicios-millan/,,| Wheel alignment | Change Tires | Tire balancing | Inflated with nitrogen | Puncture proof tires | Wheel alignment | Change Tires | Tire balancing | Inflated with nitrogen | Puncture proof tires | Changing shock absorbers | Brake discs | Windshield wiper blades | brake pads | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | exhaust pipes | Air-conditioning | Air-conditioning |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,NEUMÁTICOS DANI,"Avenida de Elx, 43 ",Alcoy,03801,965541022,965542156,https://www.vulco.es/neumaticos-dani/,,| Wheel alignment | Change Tires | Tire balancing | Inflated with nitrogen | Anti-puncture tires | Wheel alignment | Change Tires | Tire balancing | Inflated with nitrogen | Puncture proof tires | Changing shock absorbers | brake discs | Windshield wiper blades | Brake pads | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Battery | Oil change | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Battery | Oil change | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Pre ITV | Pre ITV |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,NEUMATICOS SURESTE 2,"Polígono Industrial las Atalayas - Avenida Antigua Peseta, 81 ",Alicante,03114,662658199,965111628,https://www.vulco.es/neumaticos-sureste-2/,,| Wheel alignment | Change Tires | Tire balancing | Inflated with nitrogen | Puncture proof tires | Steering alignment | Change Tires | Tire balancing | Inflated with nitrogen | Puncture proof tires | Changing shock absorbers | brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Battery | Oil change | timing belt | Oil filter | Cabin filter | Coolant | Exhaust pipes | Sale of accessories | Battery | Oil change | timing belt | Oil filter | Cabin filter | Coolant | Exhaust pipes | Sale of accessories | Air-conditioning | Pre ITV | Mobile Workshop Unit | Air-conditioning | Pre ITV | Mobile Workshop Unit | Waiting room | Free WiFi | Parking | Parking for people with disabilities | Waiting room | Free WiFi | Parking | Parking for people with disabilities |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,MARCELINO GATO MARTÍN E HIJOS,"Avenida de Europa, 17 ",Benisa,03720,965731072|665524556,34913291015,https://www.vulco.es/marcelino-gato-martin-e-hijos/,,| Wheel alignment | Change Tires | Tire balancing | Inflated with nitrogen | Anti-puncture tires | Wheel alignment | Change Tires | Tire balancing | Inflated with nitrogen | Puncture proof tires | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Battery | Oil change | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Battery | Oil change | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Air-conditioning | Pre ITV | Mobile Workshop Unit | Replacement vehicle | Air-conditioning | Pre ITV | Mobile Workshop Unit | Replacement vehicle | Waiting room | Complimentary drinks | Free WiFi | Suitable for babies | Suitable for animals | Waiting room | Complimentary drinks | Free WiFi | Suitable for babies | Suitable for animals |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,GARAJE GADEA,"San Isidro, 10 ",Callosa den Sarria,03510,965881227|652584849,34913291015,https://www.vulco.es/garaje-gadea/,,| Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Change of shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Air-conditioning | Exterior washing | Interior wash | Interior cleaning with ozone | Pre ITV | Air-conditioning | Exterior washing | Interior wash | Interior cleaning with ozone | Pre ITV |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,NEUMÁTICOS F.J.GIL 2,"Carrer de Pere Joan Perpinyá, 56 ",Elche,03204,966634363,966634363,https://www.vulco.es/neumaticos-f-j-gil-2/,,| Wheel alignment | Change Tires | Tire balancing | Anti-puncture tires | Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Change of shock absorbers | brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | exhaust pipes | Sale of accessories | Air-conditioning | Pre ITV | Air-conditioning | Pre ITV |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,NEUMATICOS F.J.GIL 1,"Carrer d'Antonio Sansano Franco, 14 ",Elche,03204,966632947,966634363,https://www.vulco.es/neumaticos-f-j-gil-1/,,| Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Changing shock absorbers | Brake discs | Brake pads | Headlight adjustment | Change of shock absorbers | Brake discs | Brake pads | Headlight adjustment | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | exhaust pipes | Sale of accessories | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Air-conditioning | Pre ITV | Air-conditioning | Pre ITV |,,,,https://www.vulco.es/
abc,ESP,Tyre Service,Vulco,NEUMATICOS VALDIVIESO,"C/ Cádiz, 70 Pol. ALFAÇ III",Ibi,03440,965550312,34913291015,https://www.vulco.es/neumaticos-valdivieso/,,| Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Wheel alignment | Change Tires | Tire balancing | Puncture proof tires | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Changing shock absorbers | Brake discs | Windshield wiper blades | Brake pads | Headlight adjustment | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | exhaust pipes | Sale of accessories | Battery | Oil change | Timing belt | Oil filter | Cabin filter | Coolant | Tires | Exhaust pipes | Sale of accessories | Pre ITV | Pre ITV | Suitable for animals | Suitable for animals |,,,,https://www.vulco.es/
