abc,country,target_groups,contracts,name,street,city,postal_code,phone,fax,web,email,services,latitude,longitude,garage_id,sources
abc,SE,IAM Garage marketing system,CaryGroup,Alingsås,Verkstadsgatan 1,Alingsås,44157,0771-411411,,https://rydsbilglas.se//hitta-verkstad/alingsas/,alingsas@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,57.94127,12.5314,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,Arboga,Munkgatan 29,Arboga,73221,0771-411411,,https://rydsbilglas.se//hitta-verkstad/arboga/,arboga@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,59.389229,15.836055,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,Arvika,Förrådsgatan 3,Arvika,67134,0771-411411,,https://rydsbilglas.se//hitta-verkstad/arvika/,arvika@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,59.659765,12.608261,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,Avesta,Högbostigen 1,Avesta,77463,0771-411411,,https://rydsbilglas.se//hitta-verkstad/avesta/,avesta@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,60.155337,16.1744842,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,Bollnäs,Industrigatan 7,Bollnäs,82141,0771-411411,,https://rydsbilglas.se//hitta-verkstad/bollnas/,bollnas@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,61.332846,16.403569,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,"Borlänge, Södra Backa",Lusbergsvägen 5,Borlänge,78171,0771-411411,,https://rydsbilglas.se//hitta-verkstad/borlange/borlange-sodra-backa/,borlange@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,60.4703,15.4403,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,"Borlänge, Åselby",Cirkelgatan 8,Borlänge,78182,0771-411411,,https://rydsbilglas.se//hitta-verkstad/borlange/borlange-aselby/,borlange.aselby@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,60.470099,15.460233,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,"Borås, Bergsäter",Humlegatan 15,Borås,50451,0771-411411,,https://rydsbilglas.se//hitta-verkstad/boras/boras-bergsater/,boras.bergsater@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,57.7163,12.9528,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,"Borås, Knalleland",Vegagatan 1,Borås,50635,0771-411411,,https://rydsbilglas.se//hitta-verkstad/boras/boras-knalleland/,boras.knalleland@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,57.7301,12.9422,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,Bålsta,Dragrännan 2B,Bålsta,74650,0771-411411,,https://rydsbilglas.se//hitta-verkstad/balsta/,balsta@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,59.561582,17.556022,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,Eksjö,Mattläggargatan 4,Eksjö,57539,0381-14740,,https://rydsbilglas.se//hitta-verkstad/eksjo/,eksjo@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,57.6594686,14.9645207,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,"Enköping, Torggatan",Torggatan 15,Enköping,74935,0771-411411,,https://rydsbilglas.se//hitta-verkstad/enkoping/enkoping-torggatan/,enkoping.torggatan@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,59.632292,17.08224,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,"Enköping, Vårfrugatan",Vårfrugatan 2,Enköping,74534,0771-411411,,https://rydsbilglas.se//hitta-verkstad/enkoping/enkoping-varfrugatan/,enkoping@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,59.64422,17.08312,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,Eskilstuna,Mått Johanssons väg 26,Eskilstuna,63346,0771-411411,,https://rydsbilglas.se//hitta-verkstad/eskilstuna/,eskilstuna@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,59.38693,16.48493,,https://rydsbilglas.se/
abc,SE,IAM Garage marketing system,CaryGroup,Eslöv,Vindelvägen 1b,ESLÖV,24138,0771-411411,,https://rydsbilglas.se//hitta-verkstad/eslov/,eslov@rydsbilglas.se,Car glass | Stone shooting | Route change | Wiper blade,55.8383052,13.3263455,,https://rydsbilglas.se/
