abc,country,target_groups,contracts,name,street,city,postal_code,phone,fax,web,email,services,latitude,longitude,garage_id,sources
abc,FR,IAM Autocenter,Roady,Centre Roady Montpon Menesterol,Brion Nord,Montpon Menesterol,24700,0533523646,,https://www.roady.fr/montpon-menesterol.html,,Carrying / Hitching | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Registration card | Roady Assistance | Tire storage | Funding | Air conditioning | Windshield / Impact Repair | Eco-cleaning | Lavage | Gearbox | Puncture insurance | Clutch | Pre-technical inspection | Gas bottles | Lighting | Electric hybrid | Vehicle loan | Electronic diagnostics ,45.006109,0.142036,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Saint André de Cubzac,240 avenue Boucicaut,Saint André de Cubzac,33240,0533523644,,https://www.roady.fr/saint-andre-de-cubzac.html,,Carrying / Hitching | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Engine elements | Clutch | Drainage maintenance | Equipment / Accessories | Braking | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Puncture insurance | Funding | Short term vehicle rental | Vehicle loan | Lavage | Gas bottles | Roady Assistance | Registration card | Electric hybrid ,45.011156,-0.437048,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Cestas,CC Gazinet Nord Av de Verdun,Cestas,33610,0533523647,,https://www.roady.fr/cestas.html,,Carrying / Hitching | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Electronic diagnostics | Gearbox | Funding | Air conditioning | Puncture insurance | Windshield / Impact Repair | Lighting | Clutch | Tire storage ,44.780137,-0.689204,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Mérignac,105 avenue des Frères Robinson,Mérignac,33700,0533523642,,https://www.roady.fr/merignac.html,,Carrying / Hitching | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Lighting | Electric hybrid | Funding | Air conditioning | Pre-technical inspection | Electronic diagnostics | Windshield / Impact Repair | Gearbox | Clutch ,44.855827,-0.653574,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Montauban,200 Route du Nord,Montauban,82000,0535541968,,https://www.roady.fr/montauban.html,,Carrying / Hitching | Gearbox | Air conditioning | Starting / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Eco-cleaning | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Puncture insurance | Gray card | Funding | Tire storage | Short term vehicle rental | Vehicle loan | Roady Assistance ,44.037,1.3801,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Hagetmau,Route d Orthez,Hagetmau,40700,0533523648,,https://www.roady.fr/hagetmau.html,,Carrying / Hitching | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Short term vehicle rental | Roady Assistance | Funding | Lavage | Air conditioning | Clutch | Vehicle loan | Registration card | Eco-cleaning | Electronic diagnostics | Lighting | Pre-technical inspection | Electric hybrid | Gearbox ,43.637943,-0.612273,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Dax,Centre Commercial Dax porte Sud - Rte de la Parcelle,Dax,40100,0533523532,,https://www.roady.fr/dax.html,,Carrying / Hitching | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Short term vehicle rental | Roady Assistance | Windshield / Impact repair | Pre-technical inspection | Vehicle loan | Gearbox | Electric hybrid | Registration card | Electronic diagnostics | Eco-cleaning | Lighting | Clutch | Air conditioning | Funding ,43.692224,-1.052011,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Serres Castet,Rue des Eaux Bonnes,Serres Castet,64121,0533523535,,https://www.roady.fr/serres-castet.html,,Carrying / Hitching | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Eco-cleaning | Engine elements | Clutch | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Puncture insurance | Registration card | Funding | Short term vehicle rental | Vehicle loan | Gas bottles | Roady Assistance ,43.35987,-0.384361,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Cognac,18 avenue de Saintes,Cognac,16100,0533523650,,https://www.roady.fr/cognac.html,,Carrying / Hitching | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Puncture insurance | Funding | Vehicle loan | Lavage | Roady Assistance | Equipment rental | Registration card | Short term vehicle rental | Pre-technical inspection ,45.699271,-0.342947,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Saint Jean,Avenue de la Dancelle,Saint-Jean,31240,0518230445,,https://www.roady.fr/saint-jean.html,,Carrying / Hitching | Gearbox | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Pre-technical inspection | Roady Review | Windshield / Impact Repair | Funding | Vehicle loan | Gas bottles | Roady Assistance | Puncture insurance | Short term vehicle rental ,43.65088,1.50769,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Juillan - Tarbes,11C Route de Lourdes,JUILLAN,65290,0533523529,,https://www.roady.fr/juillan-tarbes.html,,Puncture insurance | Sound / Multimedia | Roady Review | Pre-technical inspection | Pneumatic | Braking | Equipment / Accessories | Drain maintenance | Clutch | Engine parts | Eco-cleaning | Lighting | Exhaust | Distribution | Direction / Suspension | Electronic diagnostics | Starting / Battery | Air conditioning | Gearbox | Carrying / Hitching | Funding | Short term vehicle rental | Windshield / Impact Repair | Lavage | Vehicle loan ,43.201406,0.036918,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Muret,42 avenue de l Europe,Muret,31600,0533523539,,https://www.roady.fr/muret.html,,Carrying / Hitching | Gearbox | Air conditioning | Starting / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Puncture insurance | Registration card | Funding | Short term vehicle rental | Vehicle loan | Roady Assistance | Equipment rental | Gas bottles ,43.47251,1.333165,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Saintes,11 Rue de Lamothe,Saintes,17100,0533523534,,https://www.roady.fr/saintes.html,,Carrying / Hitching | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Eco-cleaning | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Electric hybrid | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Puncture insurance | Funding | Vehicle loan | Lavage | Roady Assistance | Registration card ,45.740224,-0.603733,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Castanet Tolosan,ZAC du Parc de la Rabaudy - Route de Labège,Castanet Tolosan,31320,0533523538,,https://www.roady.fr/castanet-tolosan.html,,Carrying / Hitching | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Eco-cleaning | Engine parts | Clutch | Drainage maintenance | Equipment / Accessories | Braking | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Gray card | Funding | Tire storage | Short term vehicle rental | Vehicle loan | Gas bottles | Roady Assistance ,43.52054,1.512954,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Oloron sainte Marie,CC de la Porte d Aspe Bd de l Aragon,Oloron sainte Marie,64400,0533523649,,https://www.roady.fr/oloron-sainte-marie.html,,Portage / Hitch | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Vehicle loan | Gas bottles | Roady Assistance ,43.179298,-0.612603,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Montgiscard,"Lieu-dit, RN 113 En Rouzaud",MONTGISCARD,31450,0533523632,,https://www.roady.fr/montgiscard.html,,Puncture insurance | Gearbox | Gas bottles | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Eco-cleaning | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Funding | Braking | Electric hybrid | Lavage | Pneumatic | Pre-technical inspection | Vehicle loan | Roady Review | Roady Assistance | Sound / Multimedia | Carrying / Hitching ,43.45263,1.58725,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Bayonne,12 allée de Biarnes,BAYONNE,64100,0518230799,,https://www.roady.fr/bayonne.html,,Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Eco-cleaning | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Electric hybrid | Pneumatic | Carrying / Hitching | Pre-technical inspection | Roady Review | Sound / Multimedia | Puncture insurance | Funding | Short term vehicle rental | Vehicle loan ,43.50342,-1.44714,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Saint Jean d'Angely,ZAC de l Aumonerie,Saint Jean d Angely,17400,0533523641,,https://www.roady.fr/saint-jean-d-angely.html,,Carrying / Hitching | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Eco-cleaning | Engine parts | Clutch | Drainage maintenance | Equipment / Accessories | Braking | Electric hybrid | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Puncture insurance | Registration card | Funding | Vehicle loan | Roady Assistance ,45.9536,-0.531383,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Limoges,1 rue Jean-baptiste Chastaing,Limoges,87000,0533523645,,https://www.roady.fr/limoges.html,,Carrying / Hitching | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Roady Assistance | Eco-cleaning | Puncture insurance | Pre-technical inspection | Lighting | Air conditioning | Electronic diagnostics | Gearbox | Clutch ,45.842639,1.252742,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Cambo les Bains,ZA Errobi - CD 918 LD Itxassou,Cambo les Bains,64250,0533523643,,https://www.roady.fr/cambo-les-bains.html,,Carrying / Hitching | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Eco-cleaning | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Technical pre-inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Puncture insurance | Registration card | Funding | Short term vehicle rental | Vehicle loan | Lavage | Roady Assistance ,43.350661,-1.415882,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Aurillac,114 avenue Charles de Gaulle,Aurillac,15000,0481689886,,https://www.roady.fr/aurillac.html,,Carrying / Hitching | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Roady Assistance ,44.910329,2.424358,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Castelnaudary,lieudit Méric,Castelnaudary,11400,0481689738,,https://www.roady.fr/castelnaudary.html,,Carrying / Hitching | Gearbox | Air conditioning | Start / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Engine parts | Clutch | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Technical pre-inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Puncture insurance | Funding | Roady Assistance ,43.301361,1.954774,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Niort,Route d Aiffres,Niort,79000,0533523536,,https://www.roady.fr/niort.html,,Carrying / Hitching | Gearbox | Air conditioning | Starting / Battery | Electronic diagnostics | Direction / Suspension | Distribution | Exhaust | Lighting | Engine parts | Clutch | Drainage maintenance | Equipment / Accessories | Braking | Electric hybrid | Pneumatic | Pre-technical inspection | Roady Review | Sound / Multimedia | Windshield / Impact Repair | Puncture insurance | Funding | Vehicle loan | Roady Assistance | Equipment rental | Short term vehicle rental | Eco-cleaning ,46.304838,-0.440024,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Carcassonne,ZI du Pont Rouge,Carcassonne,11000,0481689752,,https://www.roady.fr/carcassonne.html,,Portage / Hitch | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Registration card | Roady Assistance | Puncture insurance | Vehicle loan | Equipment rental | Windshield / Impact Repair | Electric hybrid | Lighting | Clutch | Electronic diagnostics | Pre-technical inspection | Air conditioning | Gas bottles | Gearbox | Funding ,43.235495,2.368688,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Poitiers,31 Route de Parthenay,Poitiers,86000,0533523528,,https://www.roady.fr/poitiers.html,,Electronic diagnostics | Direction / Suspension | Exhaust | Clutch | Equipment / Accessories | Braking | Carrying / Hitching | Air conditioning | Lighting | Engine parts | Drain maintenance | Pneumatic | Roady Review | Sound / Multimedia | Start / Battery | Roady Assistance ,46.598155,0.324189,,https://www.roady.fr/
abc,FR,IAM Autocenter,Roady,Centre Roady Lézignan Corbières,9001 Rue Alfred Nobel - ZI de Vitrac,Lézignan Corbières,11200,0481689745,,https://www.roady.fr/lezignan-corbieres.html,,Carrying / Hitching | Start / Battery | Direction / Suspension | Distribution | Exhaust | Engine parts | Drain maintenance | Equipment / Accessories | Braking | Pneumatic | Roady Review | Sound / Multimedia | Roady Assistance | Clutch | Pre-technical inspection | Funding | Air conditioning | Lighting ,43.187155,2.751431,,https://www.roady.fr/
